Wavelength,Carbonate (McArthur Basin KG-92-27),Calcite (JB-JLB-549),Calcite (GR-CMP-001),Dolomite (SH-SJG-079),Muscovite (GDS114),Muscovite (GDS120),Kaolinite (KGA-1),Montmorillonite (SAZ-1),Quartz (DH-MBW-003),Quartz (GDS74 Sand Ottowa),"Kerogen (PPRG114, H:C = 0.8)",Kerogen ?,Sap (JB-JLB-B84-A),Illite (Imt-1),Biotite H2S8 (USGS)
1.7330000,0.9997341,0.9999796,0.9999086,0.9994993,0.9996680,0.9998523,0.9998097,0.9999821,0.9998675,0.9991214,0.9998767,0.9954825,0.9999190,0.9997117,0.9996923
1.7340000,0.9997332,0.9999803,0.9998742,0.9993057,0.9996339,0.9998449,0.9998238,0.9999869,0.9998542,0.9990750,0.9976877,0.9951438,0.9999138,0.9995919,0.9995985
1.7350000,0.9997213,0.9999810,0.9998109,0.9990984,0.9996607,0.9998743,0.9998143,0.9999896,0.9998410,0.9994592,0.9979795,0.9950688,0.9998815,0.9995431,0.9995820
1.7360000,0.9996950,0.9999817,0.9997861,0.9990398,0.9996807,0.9998691,0.9998323,0.9999791,0.9998278,0.9995237,0.9983876,0.9943210,0.9998915,0.9995451,0.9998297
1.7370000,0.9997005,0.9999825,0.9998264,0.9990351,0.9996353,0.9999079,0.9998175,0.9999811,0.9998145,0.9999610,0.9989527,0.9921533,0.9998907,0.9996974,1.0000000
1.7380000,0.9996944,0.9999832,0.9998772,0.9989766,0.9996303,0.9999051,0.9998424,0.9999893,0.9998013,0.9997360,0.9990267,0.9945240,0.9998801,0.9996560,0.9997581
1.7390000,0.9997060,0.9999840,0.9999016,0.9989076,0.9996906,0.9998918,0.9998308,0.9999890,0.9997881,0.9993495,0.9967248,0.9956842,0.9998749,0.9996569,0.9997454
1.7400000,0.9996991,0.9999847,0.9999089,0.9988307,0.9996978,0.9999104,0.9998420,0.9999718,0.9997748,0.9997079,0.9964842,0.9946303,0.9998741,0.9997288,0.9996399
1.7410000,0.9996942,0.9999831,0.9999208,0.9987449,0.9996766,0.9999223,0.9998420,0.9999778,0.9997734,0.9996707,0.9963481,0.9909256,0.9998667,0.9996673,0.9996536
1.7420000,0.9996911,0.9999813,0.9998979,0.9988068,0.9996741,0.9998734,0.9998602,0.9999769,0.9997720,0.9992216,0.9979191,0.9954885,0.9998507,0.9996544,0.9995783
1.7430000,0.9997028,0.9999796,0.9999126,0.9988981,0.9996955,0.9999185,0.9998688,0.9999888,0.9997706,0.9994447,0.9993053,1.0000000,0.9998976,0.9997030,0.9997160
1.7440000,0.9997076,0.9999779,0.9999009,0.9988202,0.9996972,0.9999024,0.9998726,0.9999796,0.9997691,0.9997156,0.9977305,0.9948518,0.9998816,0.9996573,0.9998404
1.7450000,0.9996960,0.9999762,0.9998881,0.9988022,0.9997030,0.9999065,0.9998828,0.9999697,0.9997677,0.9999464,0.9969813,0.9927950,0.9998731,0.9997133,0.9995283
1.7460000,0.9997385,0.9999760,0.9998905,0.9988515,0.9997383,0.9999254,0.9999167,0.9999548,0.9997663,0.9997168,0.9954732,0.9947216,0.9998376,0.9997089,0.9997247
1.7470000,0.9997576,0.9999759,0.9999215,0.9988936,0.9997474,0.9999067,0.9999211,0.9999734,0.9997649,0.9997410,0.9969516,0.9927024,0.9998324,0.9997066,0.9997504
