Wavelength,1TB,2TB,3TB_1,3TB_2,4TB,5TB,6TB,7TB,8TB,9TB,11TB,12TB,13TB,14TB,15TB,16TB,17TB,18TB,19TB,20TB,21TB,22TB,23TB,24TB,25TB,26aTB,26bTB,27aTB,28TB,29TB
1.71800000,0.99999941,0.99994015,1.00000000,0.99997554,0.99993761,0.99994602,0.99996441,0.99998979,0.99994273,0.99998953,0.99995469,1.00000000,0.99983677,0.99859683,0.99991524,0.99992012,0.99997212,0.99996519,0.99992156,0.99988279,0.99992486,0.99992712,0.99970903,0.99973189,0.99949064,0.99988420,0.99996791,0.99996622,0.99993366,0.99997394
1.71900000,0.99996923,0.99992396,0.99997050,0.99996586,0.99986819,0.99997425,0.99998581,1.00000000,0.99994009,0.99997327,0.99996008,0.99994019,0.99980780,0.99848563,0.99991027,0.99993571,0.99996803,0.99996966,0.99993638,0.99990544,0.99994026,0.99994876,0.99970925,0.99972047,0.99947291,0.99987185,0.99996377,0.99999579,0.99994354,0.99997742
1.72000000,0.99996826,0.99990374,0.99991354,0.99992777,0.99991323,0.99995596,0.99996149,0.99999836,0.99996562,0.99994295,0.99995945,0.99991960,0.99976970,0.99833178,0.99991036,0.99988358,0.99995891,0.99996209,0.99997035,0.99990186,0.99995666,0.99997241,0.99972256,0.99972732,0.99944810,0.99989878,0.99996564,0.99995288,0.99991530,0.99995871
1.72100000,0.99995419,0.99988453,0.99986878,0.99990693,0.99991877,0.99992047,0.99990159,0.99992207,0.99995493,0.99993775,0.99993872,0.99994325,0.99976103,0.99825182,0.99988509,0.99989715,0.99995281,0.99996355,0.99994483,0.99989930,0.99995900,0.99993985,0.99969356,0.99974129,0.99942329,0.99989146,0.99997353,0.99992809,0.99990612,0.99997833
1.72200000,0.99992703,0.99989454,0.99989421,0.99991652,0.99990304,0.99993151,0.99987422,0.99993455,0.99992716,0.99992049,0.99994009,0.99995785,0.99979395,0.99824366,0.99990344,0.99992387,0.99994368,0.99998206,0.99991426,0.99992195,0.99993823,0.99995446,0.99968169,0.99973494,0.99940859,0.99984789,0.99995835,0.99994859,0.99990396,0.99995054
1.72300000,0.99995123,0.99992369,0.99995423,0.99993727,0.99992073,0.99991625,0.99994237,0.99998838,0.99995469,0.99993940,0.99997663,0.99997044,0.99975382,0.99820429,0.99991875,0.99993744,0.99995874,0.99997851,0.99992101,0.99989517,0.99993856,0.99995301,0.99965571,0.99971641,0.99934332,0.99986172,0.99996223,0.99994595,0.99991384,0.99993688
1.72400000,0.99994925,0.99990146,0.99989828,0.99992353,0.99991817,0.99991920,0.99998511,0.99997766,0.99996613,0.99995931,0.99996796,0.99997498,0.99976949,0.99811601,0.99992087,0.99992776,0.99993651,0.99996894,0.99993784,0.99992287,0.99993788,0.99995960,0.99969119,0.99968163,0.99932054,0.99981513,0.99996410,0.99989499,0.99988861,0.99994238
1.72500000,0.99997446,0.99989333,0.99991964,0.99986009,0.99993080,0.99991810,0.99995062,0.99996895,0.99993836,0.99993703,0.99995527,0.99995339,0.99974255,0.99800277,0.99987227,0.99992314,0.99996064,0.99997140,0.99992140,0.99990920,0.99992515,0.99992904,0.99967125,0.99963771,0.99932607,0.99985917,0.99996196,0.99993965,0.99989849,0.99994888
1.72600000,0.99993723,0.99991945,0.99992473,0.99991431,0.99989380,0.99990082,0.99998625,0.99994612,0.99992969,0.99995494,0.99995765,0.99998005,0.99973590,0.99794156,0.99985309,0.99992863,0.99997369,0.99995380,0.99992008,0.99990260,0.99992547,0.99992459,0.99966744,0.99965574,0.99930025,0.99982769,0.99995681,0.99992090,0.99989332,0.99997959
1.72700000,0.99991310,0.99989520,0.99989319,0.99990969,0.99989933,0.99991186,0.99994668,0.99992027,0.99992604,0.99995275,0.99997208,0.99998661,0.99979216,0.99791885,0.99988463,0.99990783,0.99994743,0.99994323,0.99991573,0.99988389,0.99992681,0.99995426,0.99967169,0.99968189,0.99928151,0.99982742,0.99995367,0.99991926,0.99990621,0.99993265
1.72800000,0.99993830,0.99993442,0.99991049,0.99992841,0.99990994,0.99992897,0.99987358,0.99996402,0.99993246,0.99991439,0.99997245,0.99995998,0.99978348,0.99787533,0.99987762,0.99987794,0.99995544,0.99992964,0.99993357,0.99987930,0.99993718,0.99991868,0.99963665,0.99967961,0.99925266,0.99981809,0.99994251,0.99995486,0.99990104,0.99996336
1.72900000,0.99993733,0.99992932,0.99992981,0.99990757,0.99991345,0.99995113,0.99997628,0.99996843,0.99995798,0.99993531,0.99997684,0.99993738,0.99970988,0.99776003,0.99983917,0.99990465,0.99995840,0.99995217,0.99992821,0.99992214,0.99993851,0.99993430,0.99965097,0.99967733,0.99928145,0.99981883,0.99994037,0.99992503,0.99989387,0.99991541
1.73000000,0.99995246,0.99993731,0.99990337,0.99996078,0.99989569,0.99987418,0.99995195,0.99994560,0.99993724,0.99993614,0.99994105,0.99995198,0.99973671,0.99782367,0.99989607,0.99991418,0.99999463,0.99996667,0.99990774,0.99991553,0.99992678,0.99993888,0.99966528,0.99967505,0.99929710,0.99981856,0.99997232,0.99991635,0.99990776,0.99992897
1.73100000,0.99996055,0.99994429,0.99988913,0.99996631,0.99988807,0.99993175,0.99991442,0.99993589,0.99994064,0.99992390,0.99994744,0.99996759,0.99972195,0.99796741,0.99988094,0.99988934,0.99997240,0.99994405,0.99989331,0.99985546,0.99993314,0.99995149,0.99966449,0.99964433,0.99931477,0.99986966,0.99995715,0.99993685,0.99989958,0.99992539
1.73200000,0.99996159,0.99991299,0.99990744,0.99995764,0.99996450,0.99993065,0.99990432,0.99988179,0.99992996,0.99991870,0.99995083,0.99997012,0.99973660,0.99804352,0.99988915,0.99988169,0.99996831,0.99995855,0.99990812,0.99990132,0.99994452,0.99992294,0.99966571,0.99965322,0.99931626,0.99983213,0.99997005,0.99991710,0.99989341,0.99993593
1.73300000,0.99998075,0.99991494,0.99988201,0.99994796,0.99992446,0.99992551,0.99991962,0.99992554,0.99995749,0.99995971,0.99996526,0.99994651,0.99975633,0.99813732,0.99987302,0.99985989,0.99996524,0.99994898,0.99988563,0.99990077,0.99992375,0.99992250,0.99970521,0.99968038,0.99936225,0.99987114,0.99996791,0.99993357,0.99989828,0.99994244
1.73400000,0.99996669,0.99992998,0.99993185,0.99991596,0.99989050,0.99989811,0.99991359,0.99991280,0.99995083,0.99997159,0.99994152,0.99994905,0.99979128,0.99827271,0.99991977,0.99990985,0.99994503,0.99994643,0.99990044,0.99988508,0.99991503,0.99994113,0.99973766,0.99966896,0.99939610,0.99989202,0.99996878,0.99993193,0.99991116,0.99992978
1.73500000,0.99995564,0.99995208,0.99989828,0.99991338,0.99990819,0.99987881,0.99991568,0.99993738,0.99994820,0.99997845,0.99996399,0.99993449,0.99983333,0.99844450,0.99989349,0.99991735,0.99992683,0.99993585,0.99988702,0.99988958,0.99991034,0.99991860,0.99974795,0.99968293,0.99945725,0.99987262,0.99997968,0.99994942,0.99991001,0.99994335
1.73600000,0.99998185,0.99996309,0.99991659,0.99992195,0.99992082,0.99989389,0.99989542,0.99992666,0.99994254,0.99996923,0.99996537,0.99995814,0.99977494,0.99854971,0.99990474,0.99991172,0.99995701,0.99993731,0.99990687,0.99989811,0.99991971,0.99991716,0.99980054,0.99973345,0.99953357,0.99988141,0.99995447,0.99994878,0.99989882,0.99994582
1.73700000,0.99998491,0.99992575,0.99988506,0.99992647,0.99992737,0.99987662,0.99994934,0.99994821,0.99994795,0.99996402,0.99995268,0.99994358,0.99980482,0.99868507,0.99990585,0.99991721,0.99995292,0.99995583,0.99994689,0.99993388,0.99993410,0.99993378,0.99979370,0.99974741,0.99956338,0.99986604,0.99995234,0.99993808,0.99990469,0.99995031
1.73800000,0.99998192,0.99987128,0.99987184,0.99993808,0.99994608,0.99988766,0.99989657,0.99996170,0.99993023,0.99993169,0.99996109,0.99994712,0.99979614,0.99881835,0.99994246,0.99992673,0.99991860,0.99996330,0.99990726,0.99992828,0.99995753,0.99994638,0.99983320,0.99979996,0.99963767,0.99987383,0.99995020,0.99994852,0.99991557,0.99993362
1.73900000,0.99997591,0.99989942,0.99990744,0.99991725,0.99990604,0.99989768,0.99986411,0.99995803,0.99992357,0.99993855,0.99995141,0.99993457,0.99981485,0.99893706,0.99994052,0.99994536,0.99995180,0.99997379,0.99994022,0.99989747,0.99994179,0.99993992,0.99985154,0.99980986,0.99966039,0.99993801,0.99996912,0.99996600,0.99993548,0.99995223
1.74000000,0.99996285,0.99993360,0.99992270,0.99988829,0.99988018,0.99990366,0.99995258,0.99993218,0.99996217,0.99997253,0.99996383,0.99991800,0.99987719,0.99896112,0.99990004,0.99993872,0.99994368,0.99998027,0.99994797,0.99992113,0.99991700,0.99991740,0.99983161,0.99977103,0.99967300,0.99994983,0.99998202,0.99995229,0.99993533,0.99997789
1.74100000,0.99995281,0.99994260,0.99990642,0.99994352,0.99994244,0.99989245,0.99997296,0.99994869,0.99996054,0.99994924,0.99997526,0.99994265,0.99985431,0.99910789,0.99993259,0.99995330,0.99995773,0.99996267,0.99993959,0.99991049,0.99992436,0.99993502,0.99984593,0.99974945,0.99969775,0.99991633,0.99995782,0.99996071,0.99995424,0.99996322
1.74200000,0.99998809,0.99993951,0.99990134,0.99990138,0.99989531,0.99988832,0.99993949,0.99990166,0.99995589,0.99994404,0.99997462,0.99996932,0.99981419,0.99918187,0.99994486,0.99994463,0.99996574,0.99995009,0.99994634,0.99988573,0.99993775,0.99995365,0.99987938,0.99979794,0.99971642,0.99993218,0.99996871,0.99998021,0.99994004,0.99999392
1.74300000,0.99997906,0.99992433,0.99992371,0.99990692,0.99990996,0.99991049,0.99995784,0.99990910,0.99992610,0.99995190,0.99998604,0.99995174,0.99984203,0.99913729,0.99999972,0.99992687,0.99996367,0.99993751,0.99995006,0.99988114,0.99992301,0.99993715,0.99987959,0.99980885,0.99970577,0.99990976,0.99996256,0.99994737,0.99993989,0.99997421
1.74400000,0.99997607,0.99994340,0.99991456,0.99994490,0.99995095,0.99996096,0.99990202,0.99993368,0.99991844,0.99996780,0.99998340,0.99996534,0.99990335,0.99923413,0.99998866,0.99996470,0.99994044,0.99996103,0.99995781,0.99994617,0.99994242,0.99994674,0.99986873,0.99984719,0.99972141,0.99992359,0.99996544,0.99992459,0.99993472,0.99996559
1.74500000,0.99995093,0.99994434,0.99991151,0.99995449,0.99990382,0.99993661,0.99990615,0.99996431,0.99992586,0.99994953,0.99997071,0.99997390,0.99988656,0.99927378,0.99996136,0.99996917,0.99995751,0.99996149,0.99993028,0.99994763,0.99995480,0.99995534,0.99987599,0.99983576,0.99973200,0.99993440,0.99994826,0.99991893,0.99994259,0.99994487
1.74600000,0.99998117,0.99988383,0.99994609,0.99993466,0.99990329,0.99993551,0.99996006,0.99997678,0.99993328,0.99996141,0.99998916,0.99992717,0.99987788,0.99925312,0.99995233,0.99994737,0.99996048,0.99996295,0.99993097,0.99992388,0.99994006,0.99994385,0.99987016,0.99983145,0.99969910,0.99995427,0.99996116,0.99994647,0.99995047,0.99998667
1.74700000,0.99999429,0.99986059,0.99995118,0.99990571,0.99988148,0.99990509,0.99994997,0.99992471,0.99994975,0.99992707,0.99996442,0.99993976,0.99983776,0.99904323,0.99989460,0.99995488,0.99991206,0.99994535,0.99995385,0.99988298,0.99993537,0.99994743,0.99988045,0.99979972,0.99970766,0.99992581,0.99995702,0.99991565,0.99992223,0.99998208
1.74800000,0.99998022,0.99993204,0.99991151,0.99990009,0.99989208,0.99991309,0.99991345,0.99993315,0.99995214,0.99991785,0.99996680,0.99996944,0.99983415,0.99905273,0.99991295,0.99993712,0.99993417,0.99995183,0.99991926,0.99991168,0.99994474,0.99993293,0.99988972,0.99980455,0.99970611,0.99992252,0.99995789,0.99993011,0.99992308,0.99996237
1.74900000,0.99995307,0.99991284,0.99991049,0.99988534,0.99989458,0.99994031,0.99991758,0.99995269,0.99993945,0.99991366,0.99996817,0.99997197,0.99989344,0.99909237,0.99995159,0.99995271,0.99995427,0.99994426,0.99993810,0.99992626,0.99992899,0.99993952,0.99986677,0.99980531,0.99967625,0.99993434,0.99995575,0.99992948,0.99994098,0.99998500
1.75000000,0.99997324,0.99997824,0.99991354,0.99991115,0.99987278,0.99993415,0.99991155,0.99996214,0.99993279,0.99992855,0.99996452,0.99997752,0.99983912,0.99901766,0.99996385,0.99996527,0.99996328,0.99997280,0.99992065,0.99991159,0.99994439,0.99995714,0.99984584,0.99976140,0.99966762,0.99989177,0.99996664,0.99993790,0.99993281,0.99994311
1.75100000,0.99996823,0.99997213,0.99992880,0.99996130,0.99986515,0.99989564,0.99991466,0.99992822,0.99992915,0.99991732,0.99996389,0.99995392,0.99984667,0.99901780,0.99996699,0.99993033,0.99994912,0.99996123,0.99993042,0.99989187,0.99995375,0.99995068,0.99981685,0.99977028,0.99964180,0.99989453,0.99996049,0.99990909,0.99992864,0.99995869
1.75200000,0.99998136,0.99991464,0.99995321,0.99999016,0.99987271,0.99994207,0.99993809,0.99994977,0.99993255,0.99991412,0.99995421,0.99994740,0.99985321,0.99903354,0.99995187,0.99993682,0.99994100,0.99994062,0.99994120,0.99992562,0.99997317,0.99993819,0.99981102,0.99977308,0.99965138,0.99990131,0.99997540,0.99996079,0.99992949,0.99997528
1.75300000,0.99995118,0.99990551,0.99988913,0.99993890,0.99987623,0.99998142,0.99994323,0.99998645,0.99994499,0.99992600,0.99996965,0.99994792,0.99984251,0.99894116,0.99991139,0.99997060,0.99994397,0.99995412,0.99994492,0.99994928,0.99995441,0.99993173,0.99980922,0.99978704,0.99967410,0.99987788,0.99999432,0.99994908,0.99992733,0.99997775
1.75400000,0.99994618,0.99993566,0.99991558,0.99993125,0.99989189,0.99997122,0.99991383,0.99992934,0.99994437,0.99993587,0.99997304,0.99992231,0.99983180,0.99881657,0.99993278,0.99993465,0.99993081,0.99993953,0.99991235,0.99993562,0.99993063,0.99994233,0.99979836,0.99976343,0.99961997,0.99990178,0.99997012,0.99991323,0.99992919,0.99994594
1.75500000,0.99995326,0.99994466,0.99994406,0.99994185,0.99993186,0.99993271,0.99993320,0.99993778,0.99993670,0.99992564,0.99997140,0.99993188,0.99984849,0.99878449,0.99993287,0.99993812,0.99994083,0.99995202,0.99990901,0.99994314,0.99993899,0.99993285,0.99982476,0.99978247,0.99962449,0.99989850,0.99997500,0.99995687,0.99993606,0.99996152
